image-1,image-2,t-im1,t-im2,t-diff,coord-1,coord-2,dist,vel
photo_0675.jpg,photo_0679.jpg,2023-05-08 15:30:48,2023-05-08 15:31:23,35,"(1012.7464599609375, 741.51953125)","(1179.4639892578125, 380.7130432128906)",4.273785148332389,0.015444238444602302
photo_0675.jpg,photo_0680.jpg,2023-05-08 15:30:48,2023-05-08 15:31:31,43,"(1012.7464599609375, 741.51953125)","(1149.6041259765625, 833.58740234375)",1.7004533113324964,0.005001705460868236
photo_0675.jpg,photo_0681.jpg,2023-05-08 15:30:48,2023-05-08 15:31:40,52,"(1057.2000732421875, 624.0)","(277.9200134277344, 164.16000366210938)",18.466063900441732,0.04491514927168982
photo_0675.jpg,photo_0682.jpg,2023-05-08 15:30:48,2023-05-08 15:31:49,61,"(1179.60009765625, 840.0000610351562)","(142.5600128173828, 374.4000244140625)",87.44349085373587,0.1813090610357461
photo_0675.jpg,photo_0683.jpg,2023-05-08 15:30:48,2023-05-08 15:31:57,69,"(1057.2000732421875, 624.0)","(129.60000610351562, 805.2000122070312)",37.8052975965961,0.06929875420315179
photo_0675.jpg,photo_0684.jpg,2023-05-08 15:30:48,2023-05-08 15:32:06,78,"(1179.0, 839.0)","(168.0, 637.2000122070312)",60.64372773054277,0.09833613696614167
photo_0675.jpg,photo_0685.jpg,2023-05-08 15:30:48,2023-05-08 15:32:15,87,"(1087.3961181640625, 803.7275390625)","(1204.34716796875, 114.4627456665039)",29.129842929070147,0.0423487647548137
photo_0675.jpg,photo_0686.jpg,2023-05-08 15:30:48,2023-05-08 15:32:23,95,"(1094.0, 626.0)","(945.5617065429688, 669.7728881835938)",9.103403049076846,0.012119983343655152
photo_0676.jpg,photo_0677.jpg,2023-05-08 15:30:56,2023-05-08 15:31:05,9,"(261.572265625, 390.56683349609375)","(243.6563720703125, 824.1318359375)",7.8897274059453695,0.1108769691448856
photo_0676.jpg,photo_0678.jpg,2023-05-08 15:30:56,2023-05-08 15:31:14,18,"(877.8795776367188, 781.1336669921875)","(1269.04345703125, 437.9444274902344)",9.81835804683331,0.06899032920908206
photo_0676.jpg,photo_0679.jpg,2023-05-08 15:30:56,2023-05-08 15:31:23,27,"(1071.0, 765.0)","(1308.9600830078125, 413.280029296875)",6.740556861405241,0.03157576414187166
photo_0676.jpg,photo_0680.jpg,2023-05-08 15:30:56,2023-05-08 15:31:31,35,"(1053.0, 955.0)","(1206.337890625, 758.4401245117188)",4.086813021834355,0.01476857460004598
photo_0676.jpg,photo_0681.jpg,2023-05-08 15:30:56,2023-05-08 15:31:40,44,"(902.9618530273438, 490.8959045410156)","(540.0, 923.0400390625)",20.901816979004995,0.060083222988739804
photo_0676.jpg,photo_0682.jpg,2023-05-08 15:30:56,2023-05-08 15:31:49,53,"(1072.800048828125, 758.4000244140625)","(144.0, 368.4000244140625)",91.57797249957702,0.21854305588200942
